ticket_id,category,subcategory,original_text,ai_suggested_category,ai_confidence_score,ai_extracted_symptoms
SR000001,Security,Phishing,"Email with malicious link made it past spam filter, need to report.",Unknown,0.8,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': 'Email with malicious link made it past spam filter'}"
SR000018,Network,Bandwidth,"Large file uploads timing out, cannot complete upload to cloud storage.",Unknown,0.7,"{'device_type': 'N/A', 'os': 'N/A', 'onset': 'N/A', 'location': 'N/A', 'error_message': 'Timing out'}"
SR000023,Hardware,Monitor,Monitor keeps disconnecting and reconnecting randomly throughout the day.,Autres-Reseau,0.6,"{'device_type': 'Monitor', 'os': None, 'onset': 'Throughout the day', 'location': None, 'error_message': None}"
SR000028,Network,VPN,When available: Forgot VPN password and reset link not working.,VPN,0.7,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': 'reset link not working'}"
SR000030,Software,Antivirus,Real-time protection disabled and I cannot turn it back on.,Unknown,0.6,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': 'Real-time protection disabled'}"
SR000040,Hardware,Phone,Office desk phone has no dial tone. Cannot make or receive calls.,Unknown,0.8,"{'device_type': 'Téléphone de bureau (Office desk phone)', 'os': None, 'onset': None, 'location': None, 'error_message': 'No dial tone'}"
SR000043,Software,Office Suite,"Cannot save PowerPoint presentation, getting 'file is corrupted' error.",Unknown,0.7,"{'device_type': 'unknown', 'os': 'unknown', 'onset': 'unknown', 'location': 'unknown', 'error_message': 'file is corrupted'}"
SR000061,Network,Internet,"Internet is down in our entire department (4th floor, east wing).",Unknown,0.7,"{'device_type': 'N/A', 'os': 'N/A', 'onset': 'N/A', 'location': '4ème étage, aile Est', 'error_message': 'Internet is down'}"
SR000076,Network,Internet,"Urgent: Cannot access any external websites, only internal resources work.",Unknown,0.7,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': 'Cannot access any external websites'}"
SR000087,Access Management,Role Change,"Need ASAP: Temporary role coverage during leave, need delegate access for 4 weeks.",Permissions,0.7,"{'device_type': 'N/A', 'os': 'N/A', 'onset': 'N/A', 'location': 'N/A', 'error_message': 'N/A'}"
SR000111,Network,WiFi,Getting 'limited connectivity' message on WiFi connection.,Unknown,0.5,"{'device_type': 'unknown', 'os': 'unknown', 'onset': 'unknown', 'location': 'unknown', 'error_message': 'limited connectivity'}"
SR000117,Hardware,Keyboard/Mouse,"Spilled coffee on keyboard this morning, now several keys are sticky.",Unknown,0.8,"{'device_type': 'Keyboard', 'os': None, 'onset': 'this morning', 'location': None, 'error_message': None}"
SR000136,Hardware,Monitor,"Monitor has dead pixels in the center, very distracting.",Unknown,0.7,"{'device_type': 'Monitor', 'os': None, 'onset': None, 'location': None, 'error_message': 'dead pixels'}"
SR000138,Security,Antivirus Alert,"Suspicious activity alerts from security software, need immediate attention.",Unknown,0.6,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': 'Suspicious activity alerts'}"
SR000143,Hardware,Printer,Need ASAP: Print jobs are stuck in queue and not printing. Urgent documents needed.,Unknown,0.8,"{'device_type': 'Imprimante', 'os': None, 'onset': 'Immédiat (ASAP)', 'location': None, 'error_message': 'Jobs stuck in queue'}"
SR000161,Security,Account Locked,Getting 'account disabled' message when trying to login.,Unknown,0.6,"{'device_type': 'unknown', 'os': 'unknown', 'onset': 'unknown', 'location': 'unknown', 'error_message': 'account disabled'}"
SR000169,Software,Antivirus,Antivirus definition updates failing for past week.,Unknown,0.7,"{'device_type': None, 'os': None, 'onset': 'past week', 'location': None, 'error_message': 'Antivirus definition updates failing'}"
SR000183,Security,Antivirus Alert,"When available: Antivirus quarantined important file, need help restoring it safely.",Unknown,0.8,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': 'Antivirus quarantined important file'}"
SR000186,Hardware,Printer,Printer is out of toner but I don't know how to replace it.,Unknown,0.7,"{'device_type': 'Printer', 'os': None, 'onset': None, 'location': None, 'error_message': 'Out of toner'}"
SR000188,Security,Permissions,"Access removed accidentally, need permissions restored immediately.",Unknown,0.7,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': 'Access removed accidentally'}"
SR000189,Network,Internet,Internet working on laptop but not on desktop computer.,Unknown,0.6,"{'device_type': 'Desktop computer', 'os': None, 'onset': None, 'location': None, 'error_message': None}"
SR000192,Access Management,Role Change,"Additional responsibilities added, need expanded system access.",Permissions,0.6,"{'device_type': 'N/A', 'os': 'N/A', 'onset': 'N/A', 'location': 'N/A', 'error_message': 'N/A'}"
SR000193,Access Management,Role Change,"Role change from sales to marketing, update access groups.",Permissions,0.8,"{'device_type': None, 'os': None, 'onset': None, 'location': None, 'error_message': None}"
SR000198,Network,Bandwidth,"Cannot stream training videos, keeps buffering every few seconds.",Unknown,0.6,"{'device_type': 'unknown', 'os': 'unknown', 'onset': 'unknown', 'location': 'unknown', 'error_message': 'Buffering every few seconds'}"
SR000223,Security,Phishing,Suspicious email asking to verify account details urgently.,Unknown,0.6,"{'device_type': None, 'os': None, 'onset': 'urgent', 'location': None, 'error_message': None}"
