id,user_message,expected_category,expected_priority,device_model,location,symptoms
1,"L'imprimante HP au bureau 301 ne fonctionne pas, voyant rouge clignote",printer,medium,HP,Bureau 301,"voyant rouge, impression impossible"
2,"Mon ordinateur portable Dell ne démarre plus, écran noir",hardware,high,Dell,,"écran noir, démarrage impossible"
3,"Le WiFi est très lent au 2ème étage, impossible de télécharger des fichiers",network,medium,,2ème étage,"lenteur réseau, téléchargement impossible"
4,"Excel crash à chaque fois que j'ouvre un fichier avec des macros",software,medium,Excel,,"crash application, macros"
5,"URGENT: Le serveur principal est inaccessible depuis 30 minutes, toute l'équipe est bloquée",network,critical,,"serveur principal","inaccessible, blocage équipe"
6,"Mon écran affiche des lignes verticales bizarres depuis ce matin",hardware,low,,"mon bureau","lignes verticales, affichage"
7,"Je n'arrive pas à me connecter au VPN depuis chez moi",network,medium,VPN,télétravail,"connexion VPN impossible"
8,"L'imprimante Brother fait des bruits étranges et imprime des pages blanches",printer,medium,Brother,,"bruits étranges, pages blanches"
9,"Outlook ne synchronise plus mes emails depuis hier soir",software,high,Outlook,,"synchronisation emails impossible"
10,"Mon clavier sans fil ne répond plus, j'ai changé les piles",hardware,low,,"mon poste","clavier ne répond pas"
11,"Le projecteur de la salle de réunion A ne s'allume plus",hardware,medium,,"Salle réunion A","projecteur ne s'allume pas"
12,"Windows Update est bloqué à 35% depuis 2 heures",software,medium,Windows,,"Windows Update bloqué"
13,"Je reçois un message 'disque plein' mais j'ai supprimé beaucoup de fichiers",hardware,medium,,"mon PC","message disque plein"
14,"Le scanner Canon ne scanne qu'en noir et blanc alors qu'il devrait faire de la couleur",printer,low,Canon,,"scan noir et blanc uniquement"
15,"CRITIQUE: La base de données clients est corrompue, impossibilité d'accéder aux données",software,critical,,"base de données","corruption données, accès impossible"
16,"Mon mot de passe Active Directory a expiré et je ne peux plus me connecter",software,high,Active Directory,,"mot de passe expiré, connexion impossible"
17,"La souris Logitech fait des mouvements saccadés sur l'écran",hardware,low,Logitech,,"mouvements saccadés"
18,"Teams ne lance plus les appels visio, message d'erreur à chaque tentative",software,high,Teams,,"appels visio impossibles, erreur"
19,"Le NAS de sauvegarde affiche 'disque défaillant' en rouge",hardware,critical,NAS,,"alerte disque défaillant"
20,"L'imprimante Epson bourre le papier systématiquement",printer,medium,Epson,,"bourrage papier"
21,"Chrome se ferme tout seul toutes les 5 minutes",software,medium,Chrome,,"fermeture automatique"
22,"Le câble réseau du bureau 205 semble être endommagé",network,medium,,Bureau 205,"câble endommagé"
23,"Mon portable Lenovo surchauffe et s'éteint brutalement",hardware,high,Lenovo,,"surchauffe, extinction brutale"
